State,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida**,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire**,New Jersey,New Mexico,New York (City and State),North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-state (exact residence unknown),Unknown residence,Total by location of service
Michigan,--,--,0,0,--,--,--,0,--,--,--,0,0,--,302,0,0,--,0,0,0,0,"21,804",0,0,--,--,--,--,0,--,--,--,--,0,152,--,0,--,--,0,--,--,--,0,0,--,--,0,0,0,0,--,0,--,0,--,"22,357"
Minnesota,--,0,--,0,--,--,--,0,0,--,0,0,--,--,0,--,0,0,0,0,0,0,--,"11,391",0,--,--,0,0,0,--,0,--,--,66,0,0,0,0,0,0,55,0,--,--,0,--,--,0,763,--,--,--,0,--,0,--,"12,388"
Mississippi,--,0,0,--,0,0,0,0,0,--,0,0,0,--,0,0,0,0,--,0,0,0,0,0,"2,374",--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0,0,--,0,0,0,0,0,0,0,0,0,0,"2,438"
Missouri,--,0,--,--,--,--,0,0,0,--,0,0,0,495,--,--,--,--,0,0,0,--,--,0,--,"6,326",0,0,0,0,--,0,0,--,0,0,0,0,0,--,0,0,--,--,0,0,--,--,0,0,0,0,0,0,0,0,0,"6,881"
Montana,0,0,--,0,0,--,0,0,0,0,0,0,61,0,--,0,--,--,0,0,0,0,0,0,0,--,"1,946",0,0,0,0,0,--,--,--,0,0,--,0,0,0,--,0,0,0,0,0,--,0,0,160,0,--,0,--,0,--,"2,223"
Nebraska,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,176,--,0,0,0,0,0,0,--,0,--,0,"2,283",0,0,0,0,0,0,--,0,--,0,0,0,0,--,0,--,0,0,0,0,0,0,0,0,0,0,--,0,0,"2,551"
Nevada,0,--,189,--,154,--,--,0,0,--,--,--,--,--,--,0,0,--,0,0,0,--,--,--,0,0,--,0,"8,833",0,--,0,--,--,0,--,0,--,0,0,0,--,--,--,133,--,0,--,0,--,--,--,0,0,--,0,165,"9,540"
New Hampshire**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, -- 
New Jersey,0,0,--,0,--,0,--,89,--,--,--,0,0,0,0,0,0,--,0,--,--,--,--,--,0,0,0,0,0,0,"26,994",0,220,--,0,--,0,0,1119,--,--,0,--,--,0,0,--,0,0,0,0,0,0,0,0,0,0,"28,519"
New Mexico,0,--,--,0,--,--,0,0,0,--,0,--,--,--,0,0,--,--,--,0,0,0,0,0,0,0,--,0,--,0,0,"4,771",0,0,0,0,--,0,0,0,0,0,0,151,--,0,--,0,0,0,0,0,0,0,--,0,0,"5,022"
New York State,0,0,--,0,--,0,132,0,0,--,--,0,0,0,--,0,--,0,0,--,0,--,--,0,--,0,--,--,0,--,--,0,"30,726",--,0,--,--,0,549,0,--,0,--,--,0,--,--,0,0,0,0,0,--,--,--,"1,171",0,"32,723"
